"filename", "language", "C++", "YAML", "Swift", "JSON", "Dart", "HTML", "Markdown", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\bmi\cons.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 9, 47
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\bmi\input_page.dart", "Dart", 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 2, 9, 286
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\bmi\resultspage.dart", "Dart", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 8, 74
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\cart\cart.dart", "Dart", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 1, 5, 131
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\cart\component\cart_controller.dart", "Dart", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 6, 100
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\category\views\category.dart", "Dart", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 7, 10, 93
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\chat\answers.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 2, 37
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\chat\chat_page.dart", "Dart", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 1, 3, 136
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\chat\controller\answers_controller.dart", "Dart", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\chat\controller\chat_controller.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\contact\views\contactus.dart", "Dart", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 2, 9, 193
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\content\conentpage.dart", "Dart", 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 5, 5, 204
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\content\controllers\content_controller.dart", "Dart", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 5, 62
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\components\controllers.dart\appbar_controller.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\components\controllers.dart\biggner_controller.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\components\controllers.dart\courses_controller.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\components\courses.dart", "Dart", 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 1, 4, 186
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\components\custom_app_bar.dart", "Dart", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 12, 5, 101
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\components\diff_styles.dart", "Dart", 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 1, 6, 176
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\home_screen.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 4, 30
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\intro\controllers\intro_controller.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\intro\intro_slider.dart", "Dart", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\intro\widgets\intro_three.dart", "Dart", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 4, 128
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\intro\widgets\page_view_intro.dart", "Dart", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 6, 138
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\login\components\background_image_clipper.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\login\components\circle_button.dart", "Dart", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\login\components\components\controllers\login_controller.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\login\components\curve_clipper.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\login\components\login_credentials.dart", "Dart", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 6, 124
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\login\login_screen.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\mainPageView\components\controllers\pageview_controller.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\mainPageView\mainPageview.dart", "Dart", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 4, 57
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\product\controllers\detail_controller.dart", "Dart", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 2, 41
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\product\controllers\shop_controller.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\product\product_detail.dart", "Dart", 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 2, 4, 152
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\product\product_home.dart", "Dart", 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 1, 6, 151
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\profile\components\controllers\profile_controller.dart", "Dart", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 4, 11, 102
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\profile\profile_page.dart", "Dart", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 9, 5, 138
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\profile\profile_widget.dart", "Dart", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 4, 51
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\register\components\background_img.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\register\components\circle_button.dart", "Dart", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\register\components\controllers\signup_controller.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 3, 4, 60
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\register\components\curve_clipper.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\register\components\signup_credentials.dart", "Dart", 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 1, 4, 149
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\register\signup_page.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\splash\components\controllers\splash_controller.dart", "Dart", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\splash\splashscreen.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 3, 29
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\theme.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
